,DLSs01,DLSs02,DLSs03,DLSt01,DLSt02,DLSt03,DPSs01,DPSs02,DPSs03,DPSt01,DPSt02,DPSt03,HLs01,HLs02,HLs03,HLt01,HLt02,HLt03,SLTs01,SLTs02,SLTs03,SLTt01,SLTt02,SLTt03,SLs01,SLs02,SLs03,SLt01,SLt02,SLt03,XSs01,XSs02,XSs03,XSt01,XSt02,XSt03
Zotu2270,0,0,1,0,1,0,1,0,2,0,0,0,46,38,62,0,0,0,5,7,8,1,0,0,3,0,4,0,0,0,13,3,6,0,0,1
Zotu2271,0,0,0,0,0,0,0,0,11,0,0,0,12,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,18,179,0,0,0
Zotu22717,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0
Zotu2272,44,22,25,2,0,0,3,4,0,1,0,0,23,51,27,2,2,0,5,4,3,4,0,0,6,27,9,0,0,0,13,8,3,0,0,0
Zotu22720,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,6,0,0,0,0,0,0,0,0,0,0
Zotu2273,0,0,0,0,0,0,0,0,2,0,0,0,28,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu22736,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Zotu22739,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0
Zotu2274,0,0,0,0,0,0,0,7,0,0,0,0,1,0,18,0,2,0,0,0,0,0,0,0,14,81,286,0,0,0,3,1,4,0,0,0
Zotu2275,0,0,0,3,20,44,0,0,0,0,0,5,0,0,0,1,0,4,1,0,0,2,5,9,0,2,0,12,0,32,0,0,0,0,2,0
Zotu22755,1,2,5,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,1,0,0,1,0,0,0
Zotu22756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
Zotu2276,0,0,0,13,0,0,0,0,0,8,3,13,2,5,4,15,0,0,0,0,0,105,12,10,0,0,0,0,0,0,17,10,3,0,0,0
Zotu22765,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0
Zotu22767,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Zotu2277,0,0,0,3,1,0,0,0,23,0,1,0,1,0,0,0,0,0,2,6,4,0,0,0,0,0,0,2,3,2,3,1,3,0,0,6
Zotu22770,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
